"id","Seen_StarWars","Fan","Han_Solo","Luke_Skywalker","Princess.Leia","Anakin.Skywalker","Obi_Wan","Emperor_Palpatine","Darth_Vader","Lando_Calrissian","Boba.Fett","C3P0","R2D2","Jar_Jar_Binks","Padme_Amidala","Yoda","Who_shot_first","Gender","Age","Household_Income","Education"
3292879998,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Unfamiliar (N/A)","Unfamiliar (N/A)","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","I don't understand this question","Male",24,"","High school degree"
3292879538,"No","","","","","","","","","","","","","","","","","Male",25,"$0 - $24,999","Bachelor degree"
3292765271,"Yes","No","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","Unfamiliar (N/A)","I don't understand this question","Male",29,"$0 - $24,999","High school degree"
3292763116,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","I don't understand this question","Male",23,"$100,000 - $149,999","Some college or Associate degree"
3292731220,"Yes","Yes","Very favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Very favorably","Very unfavorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Somewhat favorably","Somewhat favorably","Greedo","Male",29,"$100,000 - $149,999","Some college or Associate degree"
3292719380,"Yes","Yes","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","Male",27,"$25,000 - $49,999","Bachelor degree"
3292684787,"Yes","Yes","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Somewhat favorably","Very favorably","Han","Male",29,"","High school degree"
3292663732,"Yes","Yes","Very favorably","Somewhat favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very unfavorably","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very unfavorably","Somewhat unfavorably","Very favorably","Han","Male",26,"","High school degree"
3292654043,"Yes","Yes","Very favorably","Somewhat unfavorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Very unfavorably","Somewhat unfavorably","Somewhat favorably","Han","Male",20,"$0 - $24,999","Some college or Associate degree"
3292640424,"Yes","No","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Very favorably","Somewhat unfavorably","Somewhat unfavorably","Very favorably","Very favorably","Very favorably","Somewhat unfavorably","Very favorably","I don't understand this question","Male",28,"$25,000 - $49,999","Some college or Associate degree"
